BBLCOUNT        1.0         0
0x7fcb5f5ddd3a 1 3 14
0x7fcb5f5ddd2d 1 3 13
0x7fcb5f5ddfc1 1 2 5
0x7fcb5f5de056 1 8 29
0x7fcb5f5de04c 1 3 10
0x7fcb5f5de042 1 2 10
0x7fcb5f5ddf79 0 3 11
0x7fcb5f5ddf71 0 3 8
0x7fcb5f5ddf65 1 2 12
0x7fcb5f5ddf79 1 3 11
0x7fcb5f5ddfc6 1 3 13
0x7fcb5f5ddf71 2 3 8
0x7fcb5f5ddfa4 1 9 29
0x7fcb5f5ddf9e 1 2 6
0x7fcb5f5ddf96 2 2 8
0x7fcb5f5ddf92 2 2 4
0x7fcb5f5ddf84 2 3 14
0x7fcb5f5ddf79 1 3 11
0x7fcb5f5ddf74 1 2 5
0x7fcb5f5ddf5a 1 4 11
0x7fcb5f5ddf4e 0 8 23
0x7fcb5f5ddf2d 1 10 33
0x7fcb5f5ddd1a 1 4 19
0x7fcb5f5dde19 1 2 5
0x7fcb5f5dde1e 1 2 4
0x7fcb5f5ddce3 1 15 46
0x7fcb5f5ddcab 1 12 56
0x7fcb5f5ddc5c 0 2 9
0x7fcb5f5ddc53 0 2 9
0x7fcb5f5ddc20 1 13 51
0x7fcb5f5ddca6 1 2 5
0x7fcb5f5ddca3 0 3 8
0x7fcb5f5ddc73 1 11 48
0x7fcb5f5ddc6e 1 2 5
0x7fcb5f5dde56 0 1 5
0x7fcb5f5dde4d 1 2 9
0x7fcb5f5dde22 1 7 18
0x7fcb5f5de0f2 0 3 10
0x7fcb5f5de196 1 2 5
0x7fcb5f5de0d0 1 11 34
0x7fcb5f5de0fc 0 22 110
0x7fcb5f5de200 1 6 37
0x7fcb5f5de1c5 1 7 33
0x7fcb5f5de1eb 1 6 11
0x7fcb5f5de1a2 1 6 35
0x7fcb5f5de1e6 1 1 5
0x7fcb5f5de225 0 1 5
0x7fcb5f5de106 1 21 100
0x7fcb5f5de16a 0 3 17
0x7fcb5f5de17b 0 5 27
0x7fcb5f5de148 3 10 34
0x7fcb5f5de16a 1 3 17
0x7fcb5f5de17b 1 5 27
0x7fcb5f5de19b 0 7 42
0x7fcb5f5de2af 1 4 18
0x7fcb5f5de260 1 13 44
0x7fcb5f5de28c 0 8 23
0x7fcb5f5de2a3 0 4 12
0x7fcb5f5de295 1 4 14
0x7fcb5f5de2a3 1 4 12
0x7fcb5f5de2c1 1 2 5
0x7fcb5f5de2c6 1 5 21
0x7fcb5f5de2db 1 4 21
0x7fcb5f5de2f0 1 2 8
0x7fcb5f5de2f8 1 2 10
0x7fcb5f5de34a 1 2 7
0x7fcb5f5de306 1 12 68
0x7fcb5f5de302 1 2 4
0x7fcb5f5ec070 1 16 80
0x7fcb5f5f31a0 1 19 88
0x7fcb5f5f3200 1 4 8
0x7fcb5f5f3208 0 4 13
0x7fcb5f5f321d 1 4 7
0x7fcb5f5f3240 1 2 7
0x7fcb5f5f60db 1 3 9
0x7fcb5f5f60e4 1 2 7
0x7fcb5f5f6054 1 7 25
0x7fcb5f5f604b 1 3 9
0x7fcb5f5f606d 1 5 21
0x7fcb5f5f6082 1 2 10
0x7fcb5f5f608c 0 2 6
0x7fcb5f5f6092 0 3 9
0x7fcb5f5f6118 1 8 32
0x7fcb5f5f6138 1 1 5
0x7fcb5f5f6058 1 6 21
0x7fcb5f5f606d 0 5 21
0x7fcb5f5f6082 0 2 10
0x7fcb5f5f609b 1 4 17
0x7fcb5f5f60ac 1 2 5
0x7fcb5f5f60b1 1 4 19
0x7fcb5f5f60c4 1 6 23
0x7fcb5f5f6046 1 1 5
0x7fcb5f5f6030 1 10 22
0x7fcb5f5f6170 1 5 26
0x7fcb5f5f6340 1 3 17
0x7fcb5f5f62ca 1 4 24
0x7fcb5f5f629e 0 2 5
0x7fcb5f5f6287 1 5 23
0x7fcb5f5f62e2 0 2 9
0x7fcb5f5f62eb 0 1 2
0x7fcb5f5f62ed 1 2 8
0x7fcb5f5f62f5 0 3 19
0x7fcb5f5f630f 1 5 10
0x7fcb5f5f6249 0 5 19
0x7fcb5f5f6239 1 4 16
0x7fcb5f5f6228 1 5 17
0x7fcb5f5f620e 0 3 19
0x7fcb5f5f6205 1 2 9
0x7fcb5f5f6203 0 1 2
0x7fcb5f5f61f9 0 2 10
0x7fcb5f5f61e0 1 8 25
0x7fcb5f5f63c0 1 8 25
0x7fcb5f5f63d9 1 2 5
0x7fcb5f5f63de 1 12 42
0x7fcb5f5f6680 1 7 23
0x7fcb5f5f6697 0 8 40
0x7fcb5f5f66de 1 4 7
0x7fcb5f608e80 664579 6 25
0x7fcb5f608e99 0 2 5
0x7fcb5f608e9e 0 3 7
0x7fcb5f608f10 664579 14 55
0x7fcb5f608f47 4 2 4
0x7fcb5f608f47 664575 2 4
0x7fcb5f608f20 3897958 12 39
0x7fcb5f60c7f8 664579 8 41
0x7fcb5f60d780 664579 2 16
0x7fcb5f60c7e7 0 11 58
0x7fcb5f60c7e1 0 1 6
0x7fcb5f60c7d8 664579 2 9
0x7fcb5f60cea0 664579 10 52
0x7fcb5f60ce97 664579 2 9
0x7fcb5f60ce8a 664579 3 13
0x7fcb5f60cfc0 664579 2 15
0x7fcb5f60cdeb 664579 11 49
0x7fcb5f60d0a8 664579 8 43
0x7fcb5f60d0d3 664579 11 48
0x7fcb5f60c821 664579 5 26
0x7fcb5f60c83b 664579 3 10
0x7fcb5f60c845 0 6 36
0x7fcb5f60c877 664579 2 9
0x7fcb5f60c880 664579 3 10
0x7fcb5f60c88a 0 5 29
0x7fcb5f60c8b5 664579 4 27
0x7fcb5f60c8d0 664579 2 14
0x7fcb5f60c8de 664579 2 13
0x7fcb5f60d85a 664579 8 38
0x7fcb5f60d880 664579 6 25
0x7fcb5f60d2b2 664579 2 9
0x7fcb5f60bc6c 1 7 38
0x7fcb5f60be03 664579 8 15
0x7fcb5f60bded 664579 4 22
0x7fcb5f60bc92 664579 5 37
0x7fcb5f60bcb7 664579 4 20
0x7fcb5f60bccb 0 7 39
0x7fcb5f60d250 664579 4 26
0x7fcb5f60bcfb 664579 4 22
0x7fcb5f60bd11 664579 4 16
0x7fcb5f60bd21 0 2 6
0x7fcb5f60bd29 664579 2 5
0x7fcb5f60bd2e 0 3 15
0x7fcb5f60bd44 664579 13 64
0x7fcb5f60bd84 664579 6 23
0x7fcb5f60bc5a 1 4 18
0x7fcb5f60bc51 1 2 9
0x7fcb5f60bc3a 1 4 23
0x7fcb5f60bbf0 664579 20 74
0x7fcb5f60bd9b 664579 2 9
0x7fcb5f60bda4 0 3 15
0x7fcb5f60bdb3 0 3 17
0x7fcb5f60be30 664579 2 13
0x7fcb5f60be3d 664579 3 16
0x7fcb5f60be4d 664579 2 14
0x7fcb5f60be5b 664579 2 14
0x7fcb5f60be69 664579 3 24
0x7fcb5f60be81 664579 12 78
0x7fcb5f60becf 664579 28 176
0x7fcb5f60cdc0 664579 8 43
0x7fcb5f60bfd2 664579 1 5
0x7fcb5f60bfbc 0 3 15
0x7fcb5f60bfb8 664579 2 4
0x7fcb5f60bfb6 0 1 2
0x7fcb5f60bfb1 0 2 5
0x7fcb5f60bfa0 664579 3 17
0x7fcb5f60bdc4 0 3 10
0x7fcb5f60bdb3 664579 3 17
0x7fcb5f60bdaa 664579 2 9
0x7fcb5f60c219 664579 1 5
0x7fcb5f60c20d 664579 3 12
0x7fcb5f60c1fa 664579 5 19
0x7fcb5f60c1e4 664579 5 22
0x7fcb5f60be18 664578 2 9
0x7fcb5f60be21 0 2 8
0x7fcb5f60bc44 664578 3 13
0x7fcb5f60bc51 664578 2 9
0x7fcb5f60bc5a 664578 4 18
0x7fcb5f60bc6c 664578 7 38
0x7fcb5f60d3df 664578 3 16
0x7fcb5f60d3ef 664578 5 19
0x7fcb5f60d402 664578 2 12
0x7fcb5f60c1d5 664579 5 15
0x7fcb5f60c1b4 664579 6 33
0x7fcb5f60c1a4 664579 3 16
0x7fcb5f60c185 664579 6 31
0x7fcb5f60c170 664579 3 21
0x7fcb5f60d402 1 2 12
